,interest_level,latitude,longitude,bathrooms,bedrooms,price,num_photos,num_features,num_description_words,created_year,created_month,created_day
10,medium,40.7145,-73.9425,1.5,3,3000,5,0,95,2016,6,24
10000,low,40.7947,-73.9667,1.0,2,5465,11,5,9,2016,6,12
100004,high,40.7388,-74.0018,1.0,1,2850,8,4,94,2016,4,17
100007,low,40.7539,-73.9677,1.0,1,3275,3,2,80,2016,4,18
100013,low,40.8241,-73.9493,1.0,4,3350,3,1,68,2016,4,28
100014,medium,40.7429,-74.0028,2.0,4,7995,5,0,9,2016,4,19
100016,low,40.8012,-73.966,1.0,2,3600,10,8,87,2016,4,27
100020,low,40.7427,-73.9957,2.0,1,5645,5,8,134,2016,4,13
100026,medium,40.8234,-73.9457,1.0,1,1725,5,4,4,2016,4,20
100027,low,40.7278,-73.9808,2.0,4,5800,9,2,166,2016,4,2
100030,low,40.7769,-73.9467,1.0,0,1950,1,0,28,2016,4,14
10004,low,40.8448,-73.9396,1.0,1,1675,5,7,105,2016,6,3
100044,high,40.7488,-73.977,1.0,2,3000,4,4,108,2016,4,19
100048,low,40.7707,-73.9817,2.0,2,6895,6,6,76,2016,4,9
10005,low,40.7584,-73.9648,1.0,1,3050,6,5,86,2016,6,1
100051,medium,40.7439,-73.9743,1.0,0,2350,2,5,70,2016,4,18
100052,low,40.7305,-73.983,1.0,2,3650,5,1,49,2016,4,22
100053,low,40.8643,-73.928,1.0,1,1695,8,5,172,2016,4,19
100055,low,40.7999,-73.9638,1.0,4,5000,0,3,9,2016,4,20
100058,low,40.7328,-73.9799,1.0,1,3973,32,2,9,2016,4,9
100062,low,40.7454,-73.9845,1.0,3,4395,6,4,143,2016,4,12
100063,medium,40.7427,-73.9794,1.0,2,2999,5,9,43,2016,4,7
100065,low,40.7447,-73.9741,1.0,1,2595,0,2,9,2016,4,13
100066,low,40.7074,-74.0081,1.0,1,3695,4,10,112,2016,4,17
10007,medium,40.7391,-73.9936,2.0,4,7400,6,12,137,2016,6,7
100071,low,40.7584,-73.9653,3.5,4,7500,7,12,118,2016,4,27
100075,medium,40.7728,-73.9502,1.0,1,2295,6,3,63,2016,4,25
100076,low,40.7709,-73.9917,1.0,1,3164,6,8,106,2016,4,22
100079,high,40.8335,-73.9141,1.0,1,1350,1,0,35,2016,4,21
100081,low,40.7716,-73.9506,2.0,2,5600,1,8,51,2016,4,26
100083,medium,40.7897,-73.976,1.0,0,2750,4,6,204,2016,4,21
100084,medium,40.7902,-73.9678,1.0,2,3500,8,13,137,2016,4,4
100085,low,40.7179,-74.0148,1.0,1,5165,5,6,45,2016,4,22
100087,low,40.7301,-73.9942,1.0,2,4400,6,6,63,2016,4,20
10009,low,40.844,-73.9404,1.0,2,2300,5,4,72,2016,6,17
100090,low,40.79,-73.9418,1.0,1,1650,3,6,146,2016,4,18
100096,low,40.8184,-73.9389,1.0,0,1300,3,6,125,2016,4,4
100098,high,40.7649,-73.9763,1.0,0,1980,2,6,114,2016,4,17
100099,low,40.7471,-73.9867,2.0,2,6500,6,8,130,2016,4,6
10010,medium,40.753,-73.9959,1.0,0,2396,4,14,81,2016,6,29
100100,low,40.7231,-74.0044,1.0,3,3733,11,1,6,2016,4,18
100102,low,40.7723,-73.9533,3.0,4,15000,5,18,85,2016,4,12
100107,medium,40.7753,-73.954,1.0,0,2400,7,7,142,2016,4,19
100112,medium,40.7739,-73.9511,1.0,0,1850,5,6,94,2016,4,29
100113,low,40.8031,-73.957,1.0,1,2500,5,2,72,2016,4,9
100115,medium,40.7975,-73.9626,1.0,1,2045,5,2,100,2016,4,25
100117,low,40.7372,-73.9981,1.0,0,2650,5,5,81,2016,4,29
100119,low,40.7479,-74.0005,1.0,2,3745,4,8,137,2016,4,9
10012,low,40.7802,-73.9504,1.0,1,1900,16,0,4,2016,6,21
100124,low,40.7377,-73.9831,1.0,2,5595,4,13,104,2016,4,11
100127,low,40.7263,-73.8573,1.0,1,1750,15,3,48,2016,4,21
100129,medium,40.7267,-73.8569,1.0,1,1650,9,1,73,2016,4,30
100131,low,40.7817,-73.9573,1.0,0,3500,6,6,70,2016,4,12
100132,low,40.789,-73.9756,1.0,1,3300,7,9,107,2016,4,9
100133,low,40.7522,-73.9702,1.0,0,2790,4,5,79,2016,4,2
100136,medium,40.7059,-73.8339,2.0,2,2100,23,0,42,2016,4,12
100137,medium,40.7943,-73.9675,1.0,2,3200,6,3,166,2016,4,21
100138,low,40.7699,-73.9565,1.0,0,2700,0,0,1,2016,4,26
100139,medium,40.766,-73.9914,1.0,3,4500,9,8,47,2016,4,26
10014,low,40.6888,-73.9522,1.0,1,2000,5,2,28,2016,6,8
100140,medium,40.7493,-73.7142,1.0,2,1900,10,0,64,2016,4,23
100141,medium,40.7892,-73.9705,1.0,1,3200,5,5,99,2016,4,20
100144,low,40.7571,-73.9647,1.0,0,2290,7,7,90,2016,4,13
100149,low,40.7299,-73.9819,1.0,2,3895,2,6,149,2016,4,11
100151,high,40.7796,-73.9493,1.0,1,2200,5,4,70,2016,4,30
100156,low,40.7459,-73.9564,1.0,1,3200,0,4,9,2016,4,15
100160,low,40.7467,-73.9854,1.0,1,4455,8,7,130,2016,4,15
100161,low,40.7619,-73.9854,1.0,1,3697,0,9,1,2016,4,19
100166,high,40.7341,-73.9896,2.0,2,5700,6,8,125,2016,4,8
100170,medium,40.7413,-73.9779,1.0,2,3400,5,10,146,2016,4,27
100172,low,40.7351,-73.9531,1.0,1,2550,11,13,132,2016,4,15
100175,low,40.8028,-73.9648,1.0,2,3200,5,3,60,2016,4,19
100177,low,40.7196,-74.0109,2.0,3,6320,7,10,143,2016,4,10
100179,low,40.7777,-73.9532,1.0,1,2945,0,4,1,2016,4,18
100181,low,40.7087,-74.0058,2.0,2,4600,7,9,183,2016,4,20
100182,low,40.7924,-73.9741,2.0,2,7800,18,5,47,2016,4,18
100184,low,40.7756,-73.9846,2.0,2,7000,11,11,175,2016,4,14
100185,medium,40.7054,-74.0095,1.0,2,3250,5,13,41,2016,4,13
100188,high,40.7108,-73.8543,1.0,0,1400,3,0,35,2016,4,15
100193,low,40.7802,-73.9444,1.0,1,3195,8,8,268,2016,4,29
100196,high,40.664,-73.9342,1.0,1,1495,3,1,66,2016,4,14
100198,low,40.7349,-73.9863,1.0,1,3850,6,7,151,2016,4,3
1002,low,40.7617,-73.9626,1.0,0,2625,5,0,44,2016,6,24
10020,high,40.8394,-73.9381,1.0,3,2500,6,1,37,2016,6,12
100200,low,40.7931,-73.9715,1.0,2,3095,0,3,2,2016,4,20
100203,low,40.7788,-73.9538,3.5,4,13500,9,6,124,2016,4,9
100205,low,40.6578,-73.9259,1.0,2,1700,5,1,80,2016,4,9
100206,medium,40.769,-73.9541,1.0,0,1850,5,3,61,2016,4,6
100209,high,40.6633,-73.9824,1.0,2,2050,2,2,135,2016,4,4
10021,low,40.7762,-73.9592,1.0,1,4000,5,10,112,2016,6,1
100213,low,40.7604,-73.9617,1.0,0,1950,4,1,9,2016,4,16
100214,low,40.778,-73.9774,1.0,1,2750,5,2,32,2016,4,15
100215,low,40.7801,-73.9803,2.0,3,4900,2,5,45,2016,4,27
100216,medium,40.7447,-74.0052,1.0,3,6500,11,7,189,2016,4,13
100219,medium,40.6896,-73.9982,1.0,2,2300,0,3,10,2016,4,14
100221,low,40.7306,-73.8519,1.0,2,2350,1,0,48,2016,4,16
100222,low,40.7318,-74.0016,1.0,2,3900,3,4,75,2016,4,18
100224,high,40.7594,-73.9712,1.0,3,4000,5,13,87,2016,4,22
100227,medium,40.748,-73.9572,2.0,3,3850,6,12,98,2016,4,27
100233,low,40.7681,-73.9858,1.0,1,3995,1,3,20,2016,4,21
100234,medium,40.624,-74.0312,1.0,2,2000,5,0,84,2016,4,13
100235,low,40.7161,-73.9548,2.0,2,4823,8,5,105,2016,4,30
100237,low,40.7676,-73.9577,1.0,1,2700,6,6,113,2016,4,15
100240,medium,40.7073,-74.0046,1.0,1,2695,3,8,112,2016,4,6
100241,low,40.5946,-73.9617,1.0,1,1800,4,0,59,2016,4,23
100243,low,40.7426,-73.979,1.0,2,3295,3,2,25,2016,4,17
100245,low,40.7793,-73.9496,1.0,0,1725,0,3,25,2016,4,3
100246,low,40.7216,-73.9423,1.0,1,2250,5,1,63,2016,4,18
100247,low,40.7802,-73.9504,1.0,1,2300,4,3,45,2016,4,2
100248,low,40.7128,-74.0059,1.0,1,3400,6,8,100,2016,4,4
100250,low,40.7763,-73.9518,1.0,2,3050,2,3,62,2016,4,26
100251,low,40.7676,-73.9813,1.5,2,6500,6,0,98,2016,4,17
100253,low,40.5757,-73.9686,2.0,2,3250,0,1,9,2016,4,11
100254,low,40.7777,-73.9883,2.0,2,5020,4,5,69,2016,4,14
100256,low,40.8034,-73.9661,1.0,2,3200,4,3,113,2016,4,28
100259,medium,40.7133,-73.9395,1.0,1,2199,7,0,74,2016,4,29
100260,high,40.8678,-73.9251,1.0,2,1695,7,1,55,2016,4,10
100262,low,40.7592,-73.9903,1.0,1,2150,5,1,45,2016,4,11
100263,low,40.7779,-73.9525,2.0,2,6475,4,2,85,2016,4,26
100264,medium,40.7064,-74.01,1.0,1,2750,8,11,188,2016,4,7
100265,high,40.7108,-73.9878,2.0,4,5300,4,13,122,2016,4,27
100270,medium,40.7856,-73.9794,1.0,1,2195,3,4,83,2016,4,14
100274,medium,40.7281,-73.9812,2.0,4,5900,10,1,108,2016,4,16
100276,medium,40.7393,-73.9817,1.0,0,2500,7,3,294,2016,4,20
100277,low,40.7736,-73.947,1.0,2,2750,4,0,62,2016,4,26
100278,medium,40.7633,-73.9628,1.0,1,3200,4,9,48,2016,4,24
100279,medium,40.7444,-73.9754,1.0,0,2400,6,9,89,2016,4,20
100282,high,40.7796,-73.7804,2.0,3,2000,11,2,42,2016,4,19
100283,medium,40.7697,-73.9581,1.0,2,3300,6,3,107,2016,4,18
100286,low,40.7075,-74.0113,1.0,0,3090,3,9,125,2016,4,27
100287,medium,40.7264,-73.9836,1.0,3,4895,5,6,275,2016,4,7
10029,low,40.7947,-73.9667,1.0,2,5465,4,5,255,2016,6,2
100296,medium,40.7983,-73.9416,1.0,3,2000,5,0,35,2016,4,27
100297,low,40.7481,-73.9748,1.0,0,2700,5,8,144,2016,4,21
100299,low,40.7993,-73.9689,1.0,1,2400,4,1,49,2016,4,13
10030,low,40.7694,-73.9603,1.0,3,4400,7,8,137,2016,6,29
100300,medium,40.7299,-73.9819,1.0,1,2795,4,5,108,2016,4,5
